key,en,ru
CH_0,Banshee,Банши
CH_1,Basilisk,Базилиск
CH_2,Boggart,Боггарт
CH_3,Centaur,Кентавр
CH_4,Chimera,Химера
CH_5,Chupacabra,Чупакабра
CH_6,Cyclops,Циклоп
CH_7,Demon,Демон
CH_8,Djinn,Джинн
CH_9,Dragon,Дракон
CH_10,Dwarf,Гнома
CH_11,Elf,Эльф
CH_12,Fairy,Сказочный
CH_13,Gargoyle,Горгула
CH_14,Ghost,Призрак
CH_15,Giant,Гигант
CH_16,Gnome,Гном
CH_17,Goblin,Гоблин
CH_18,Griffin,Грифон
CH_19,Harpy,Гарпий
CH_20,Unicorn,Единорог
CH_21,Hydra,Гидра
CH_22,Kelpie,Келпи
CH_23,Kraken,Кракен
CH_24,Leprechaun,Лепрекон
CH_25,Lich,Лич
CH_26,Mermaid,Русалка
CH_27,Minotaur,Минотавр
CH_28,Nymph,Нимфа
CH_29,Orc,Орк
CH_30,Sphinx,Сфинкс
CH_31,Pegasus,Пегас
CH_32,Phoenix,Феникс
CH_33,Satyr,Сатир
CH_34,Troll,Тролль
CH_35,Vampire,Вампир
CH_36,Wendigo,Вендиго
CH_37,Werewolf,Оборотень
CH_38,Zombie,Зомби
Q_0,How do you approach a challenge that seems impossible to overcome?,"Как вы подходите к вызове, которая, кажется, невозможно преодолеть?"
Q_1,How do you approach a complex problem or puzzle?,Как вы подходите к сложной проблеме или головоломке?
Q_2,How do you approach a complex problem that requires creative thinking?,"Как вы подходите к сложной проблеме, которая требует творческого мышления?"
Q_3,How do you approach a complex problem that requires creativity and outside-the-box thinking?,"Как вы подходите к сложной проблеме, которая требует творчества и вне коробки мышления?"
Q_4,How do you approach a complex problem?,Как вы подходите к сложной проблеме?
Q_5,How do you approach a creative or artistic pursuit?,Как вы подходите к творческому или художественному преследованию?
Q_6,How do you approach a difficult or seemingly impossible task?,"Как вы подходите к сложной или, казалось бы, невозможной задаче?"
Q_7,"How do you approach a moral dilemma where following one path would benefit yourself, but another path would bring more good to the world?","Как вы подходите к моральной дилемме, где по одному пути принесет пользу себе, но другой путь принесет более хорошего миру?"
Q_8,"How do you approach a moral dilemma where you must choose between two options, each with significant consequences?","Как вы подходите к моральной дилемме, где вы должны выбирать между двумя вариантами, каждый из которых имеет значительные последствия?"
Q_9,How do you approach a mysterious ancient text or artifact?,Как вы подходите к таинственному древнему тексту или артефакту?
Q_10,How do you approach a mysterious or unexplained phenomenon?,Как вы подходите к таинственному или необъяснимому явлению?
Q_11,"How do you approach a mysterious, unexplained phenomenon?","Как вы подходите к таинственному, необъяснимому явлению?"
Q_12,How do you approach a mystery or an unsolved problem?,Как вы подходите к загадке или нерешенной проблеме?
Q_13,How do you approach a mystery or unexplained phenomenon?,Как вы подходите к загадке или необъяснимому явлению?
Q_14,How do you approach a new discovery or untold knowledge?,Как вы подходите к новому открытию или невыразимым знаниям?
Q_15,How do you approach a problem that seems impossible or intractable?,"Как вы подходите к проблеме, которая кажется невозможной или неразрешимой?"
Q_16,How do you approach a problem that seems impossible to solve?,"Как вы подходите к проблеме, которая, кажется, невозможно решить?"
Q_17,"How do you approach a problem that seems insurmountable, with no clear solution in sight?","Как вы подходите к проблеме, которая кажется непреодолимой, без четкого решения?"
Q_18,How do you approach a problem that seems too complex to solve?,"Как вы подходите к проблеме, которая кажется слишком сложной для решения?"
Q_19,How do you approach a puzzle or problem that requires creative thinking?,"Как вы подходите к загадке или проблеме, которая требует творческого мышления?"
Q_20,How do you approach a sense of belonging and fitting in among others?,Как вы подходите к чувству принадлежности и вмешательства среди других?
Q_21,How do you approach a sense of justice?,Как вы подходите к чувству справедливости?
Q_22,How do you approach a sense of unease or discomfort in a situation?,Как вы подходите к чувству беспокойства или дискомфорта в ситуации?
Q_23,How do you approach a situation where someone else is in trouble or in danger?,"Как вы приближаетесь к ситуации, когда у кого -то еще проблемы или в опасности?"
Q_24,How do you approach a situation where someone else is trying to take credit for your idea or accomplishments?,"Как вы подходите к ситуации, когда кто -то другой пытается принять кредит на вашу идею или достижения?"
Q_25,How do you approach a situation where someone else's actions are causing harm or suffering to others?,"Как вы подходите к ситуации, когда чужие действия причиняют вред или страдания другим?"
Q_26,How do you approach a situation where someone else's freedom or autonomy is being restricted?,"Как вы приближаетесь к ситуации, когда чужой свобода или автономия ограничены?"
Q_27,How do you approach a situation where someone is being oppressive or trying to hold you back from achieving your goals?,"Как вы приближаетесь к ситуации, когда кто -то репрессивно или пытается удержать вас от достижения ваших целей?"
Q_28,How do you approach a situation where someone is being unfairly treated or bullied?,"Как вы приближаетесь к ситуации, когда с кем -то несправедливо обращаются или издеваются?"
Q_29,How do you approach a situation where someone is being unfairly treated or oppressed?,"Как вы приближаетесь к ситуации, когда с кем -то несправедливо относится или угнетен?"
