key,en,ru
CH_0,Banshee,Banshee
CH_1,Basilisk,Василиск
CH_2,Boggart,Боггарт
CH_3,Centaur,Кентавр
CH_4,Chimera,Химера
CH_5,Chupacabra,Чупакабра
CH_6,Cyclops,Циклоп
CH_7,Demon,Демон
CH_8,Djinn,Джинн
CH_9,Dragon,Дракон
CH_10,Dwarf,Карликовый
CH_11,Elf,Эльф
CH_12,Fairy,Фея
CH_13,Gargoyle,Гаргулья
CH_14,Ghost,Призрак
CH_15,Giant,Гигант
CH_16,Gnome,Gnome
CH_17,Goblin,Гоблин
CH_18,Griffin,Гриффин
CH_19,Harpy,Гарпия
CH_20,Unicorn,Единорог
CH_21,Hydra,Гидра
CH_22,Kelpie,Келпи
CH_23,Kraken,Кракен
CH_24,Leprechaun,Лепрекон
CH_25,Lich,Lich
CH_26,Mermaid,Русалка
CH_27,Minotaur,Минотавр
CH_28,Nymph,Нимфа
CH_29,Orc,Орк
CH_30,Sphinx,Сфинкс
CH_31,Pegasus,Пегас
CH_32,Phoenix,Феникс
CH_33,Satyr,Сатир
CH_34,Troll,Тролль
CH_35,Vampire,Вампир
CH_36,Wendigo,Вендиго
CH_37,Werewolf,Оборотень
CH_38,Zombie,Зомби
Q_0,How do you approach a challenge that seems impossible to overcome?,"Как ты подходишь к задаче, которую, кажется, невозможно преодолеть?"
Q_1,How do you approach a complex problem or puzzle?,Как ты подходишь к решению сложной проблемы или головоломки?
Q_2,How do you approach a complex problem that requires creative thinking?,"Как ты подходишь к решению сложной задачи, требующей творческого подхода?"
Q_3,How do you approach a complex problem that requires creativity and outside-the-box thinking?,"Как ты подходишь к решению сложной задачи, требующей креативности и нестандартного мышления?"
Q_4,How do you approach a complex problem?,Как ты подходишь к решению сложной задачи?
Q_5,How do you approach a creative or artistic pursuit?,Как ты подходишь к творческим или художественным занятиям?
Q_6,How do you approach a difficult or seemingly impossible task?,Как ты подходишь к сложной или кажущейся невыполнимой задаче?
Q_7,"How do you approach a moral dilemma where following one path would benefit yourself, but another path would bring more good to the world?","Как ты подойдешь к моральной дилемме, когда следование по одному пути принесет пользу тебе, но другой путь принесет больше добра миру?"
Q_8,"How do you approach a moral dilemma where you must choose between two options, each with significant consequences?","Как ты подойдешь к моральной дилемме, когда нужно выбрать между двумя вариантами, каждый из которых имеет значительные последствия?"
Q_9,How do you approach a mysterious ancient text or artifact?,Как подойти к загадочному древнему тексту или артефакту?
Q_10,How do you approach a mysterious or unexplained phenomenon?,Как ты подходишь к загадочному или необъяснимому явлению?
Q_11,"How do you approach a mysterious, unexplained phenomenon?","Как подойти к загадочному, необъяснимому явлению?"
Q_12,How do you approach a mystery or an unsolved problem?,Как ты подходишь к загадке или нерешенной проблеме?
Q_13,How do you approach a mystery or unexplained phenomenon?,Как ты подходишь к загадке или необъяснимому явлению?
Q_14,How do you approach a new discovery or untold knowledge?,Как ты подходишь к новому открытию или невысказанному знанию?
Q_15,How do you approach a problem that seems impossible or intractable?,"Как ты подходишь к проблеме, которая кажется невозможной или неразрешимой?"
Q_16,How do you approach a problem that seems impossible to solve?,"Как ты подходишь к проблеме, решение которой кажется невозможным?"
Q_17,"How do you approach a problem that seems insurmountable, with no clear solution in sight?","Как подойти к проблеме, которая кажется непреодолимой и не имеет четкого решения?"
Q_18,How do you approach a problem that seems too complex to solve?,"Как ты подходишь к проблеме, которая кажется слишком сложной для решения?"
Q_19,How do you approach a puzzle or problem that requires creative thinking?,"Как ты подходишь к головоломке или проблеме, которая требует творческого мышления?"
Q_20,How do you approach a sense of belonging and fitting in among others?,Как ты подходишь к чувству принадлежности и вписываешься среди других?
Q_21,How do you approach a sense of justice?,Как подойти к чувству справедливости?
Q_22,How do you approach a sense of unease or discomfort in a situation?,Как ты подходишь к чувству беспокойства или дискомфорта в той или иной ситуации?
Q_23,How do you approach a situation where someone else is in trouble or in danger?,"Как ты подходишь к ситуации, когда кто-то другой находится в беде или в опасности?"
Q_24,How do you approach a situation where someone else is trying to take credit for your idea or accomplishments?,"Как ты подойдешь к ситуации, когда кто-то другой пытается присвоить себе твою идею или достижения?"
Q_25,How do you approach a situation where someone else's actions are causing harm or suffering to others?,"Как ты подходишь к ситуации, когда чьи-то действия причиняют вред или страдания другим людям?"
Q_26,How do you approach a situation where someone else's freedom or autonomy is being restricted?,"Как ты подходишь к ситуации, когда чья-то свобода или самостоятельность ограничивается?"
Q_27,How do you approach a situation where someone is being oppressive or trying to hold you back from achieving your goals?,"Как ты подходишь к ситуации, когда кто-то ведет себя деспотично или пытается удержать тебя от достижения целей?"
Q_28,How do you approach a situation where someone is being unfairly treated or bullied?,"Как ты подходишь к ситуации, когда с кем-то несправедливо обращаются или издеваются?"
Q_29,How do you approach a situation where someone is being unfairly treated or oppressed?,"Как ты подходишь к ситуации, когда с кем-то несправедливо обращаются или угнетают?"
Q_30,"How do you approach a situation where someone is in danger, but there's a risk that trying to save them could put others at risk as well?","Как ты подходишь к ситуации, когда кто-то находится в опасности, но есть риск, что попытка спасти его может подвергнуть опасности и других?"
Q_31,How do you approach a situation where someone is trying to deceive or manipulate you?,"Как ты подойдешь к ситуации, когда кто-то пытается тебя обмануть или манипулировать тобой?"
Q_32,How do you approach a situation where someone is trying to manipulate or deceive you?,"Как ты подходишь к ситуации, когда кто-то пытается манипулировать или обмануть тебя?"
Q_33,How do you approach a situation where someone is trying to take credit for your ideas?,"Как ты подойдешь к ситуации, когда кто-то пытается присвоить себе твои заслуги?"
Q_34,How do you approach a situation where someone's freedom or autonomy is being threatened?,"Как ты подойдешь к ситуации, когда чья-то свобода или автономия находится под угрозой?"
Q_35,How do you approach a situation where someone's power or authority is being questioned?,"Как ты подходишь к ситуации, когда чья-то власть или авторитет подвергаются сомнению?"
Q_36,"How do you approach a situation where you have the power to make a difference, but it means going against the norms and expectations of those around you?","Как ты подходишь к ситуации, когда у тебя есть возможность что-то изменить, но это означает пойти против норм и ожиданий окружающих?"
Q_37,How do you approach a situation where you have the power to make a significant impact or change?,"Как ты подходишь к ситуации, в которой у тебя есть возможность оказать значительное влияние или изменить ситуацию?"
Q_38,How do you approach a situation where you have to choose between your own needs and desires versus the needs and desires of others?,"Как ты подходишь к ситуации, когда тебе приходится выбирать между собственными потребностями и желаниями и потребностями и желаниями других людей?"
Q_39,How do you approach a situation where you have to confront someone who is stronger or more powerful than you?,"Как ты подходишь к ситуации, когда тебе приходится противостоять кому-то, кто сильнее или могущественнее тебя?"
Q_40,How do you approach a situation where you have to make a difficult choice between personal gain and doing what's morally right?,"Как ты подходишь к ситуации, когда тебе приходится делать сложный выбор между личной выгодой и поступком, который является морально правильным?"
Q_41,How do you approach a situation where you have to navigate complex webs of relationships and alliances?,"Как ты подходишь к ситуации, когда тебе приходится лавировать в сложной паутине отношений и союзов?"
Q_42,How do you approach a situation where you must balance your own desires with the greater good?,"Как ты подходишь к ситуации, когда нужно уравновесить собственные желания с высшим благом?"
Q_43,"How do you approach a situation where you must balance your own desires with the needs of others, potentially sacrificing something of personal value?","Как ты подойдешь к ситуации, когда нужно уравновесить собственные желания с потребностями других, потенциально жертвуя чем-то ценным для себя?"
Q_44,How do you approach a situation where you must balance your own needs and desires with those of others?,"Как ты подходишь к ситуации, когда нужно уравновесить свои собственные потребности и желания с желаниями других людей?"
Q_45,How do you approach a situation where you must make a choice between personal gain and doing what is right?,"Как ты подойдешь к ситуации, когда нужно сделать выбор между личной выгодой и правильным поступком?"
Q_46,How do you approach a situation where you must make sacrifices for the greater good?,"Как ты подходишь к ситуации, когда нужно идти на жертвы ради общего блага?"
Q_47,How do you approach a situation where you must prioritize one goal or value over another?,"Как ты подходишь к ситуации, когда нужно отдать предпочтение одной цели или ценности перед другой?"
Q_48,How do you approach a situation where you must prioritize your own needs over those of others?,"Как ты подходишь к ситуации, когда нужно расставить приоритеты между собственными потребностями и потребностями других людей?"
Q_49,How do you approach a situation where you're asked to betray a trust or abandon an ally?,"Как ты подойдешь к ситуации, когда тебя просят предать доверие или отказаться от союзника?"
Q_50,How do you approach a situation where you're being underestimated or overlooked by others?,"Как ты подходишь к ситуации, когда тебя недооценивают или не замечают другие?"
Q_51,How do you approach a situation where you're faced with a moral dilemma?,"Как ты подходишь к ситуации, когда сталкиваешься с моральной дилеммой?"
Q_52,How do you approach a situation where you're given conflicting information from multiple sources?,"Как ты подходишь к ситуации, когда тебе поступает противоречивая информация из нескольких источников?"
Q_53,How do you approach a situation where your goals or values conflict with those of someone you care about?,"Как ты подойдешь к ситуации, когда твои цели или ценности вступают в конфликт с целями или ценностями близкого тебе человека?"
Q_54,How do you approach a situation where your personal values or principles are challenged?,"Как ты подойдешь к ситуации, когда твоим личным ценностям или принципам брошен вызов?"
Q_55,How do you approach a situation where your values and morals are being tested?,"Как ты подойдешь к ситуации, когда твои ценности и мораль подвергаются проверке?"
Q_56,How do you approach a situation where your values and morals conflict with those of someone close to you?,"Как ты подойдешь к ситуации, когда твои ценности и мораль вступают в конфликт с ценностями и моралью близкого тебе человека?"
Q_57,How do you approach a situation where your values and principles are being challenged?,"Как ты подходишь к ситуации, когда твоим ценностям и принципам бросают вызов?"
Q_58,How do you approach a situation where your values and principles are challenged?,"Как ты подходишь к ситуации, когда твоим ценностям и принципам бросают вызов?"
Q_59,"How do you approach a situation where your values or morals conflict with someone else's, but you still want to maintain a positive relationship?","Как ты подходишь к ситуации, когда твои ценности или мораль противоречат чьим-то, но ты все равно хочешь сохранить позитивные отношения?"
Q_60,How do you approach building relationships and forming connections with others?,Как ты подходишь к построению отношений и формированию связей с другими людьми?
Q_61,How do you approach building relationships with others?,Как ты подходишь к построению отношений с другими людьми?
Q_62,How do you approach challenges and obstacles in life?,Как ты подходишь к вызовам и препятствиям в жизни?
Q_63,How do you approach challenges and obstacles in your life?,Как ты подходишь к вызовам и препятствиям в своей жизни?
Q_64,How do you approach challenges and obstacles?,Как ты подходишь к трудностям и препятствиям?
Q_65,How do you approach challenges or obstacles in your path?,Как ты подходишь к трудностям или препятствиям на своем пути?
Q_66,How do you approach challenges or obstacles?,Как ты подходишь к трудностям или препятствиям?
Q_67,How do you approach challenges that require a balance between logical reasoning and emotional intuition?,"Как ты подходишь к задачам, которые требуют баланса между логическим мышлением и эмоциональной интуицией?"
Q_68,"How do you approach challenges that require a combination of strength, cunning, and strategy?","Как ты подходишь к задачам, которые требуют сочетания силы, хитрости и стратегии?"
Q_69,"How do you approach challenges that require a combination of strength, strategy, and creativity?","Как ты подходишь к задачам, которые требуют сочетания силы, стратегии и креативности?"
Q_70,How do you approach challenges that require both creativity and analytical thinking?,"Как ты подходишь к задачам, которые требуют одновременно креативности и аналитического мышления?"
Q_71,How do you approach challenges that require both intellectual curiosity and physical action?,"Как ты подходишь к задачам, которые требуют одновременно интеллектуального любопытства и физических действий?"
Q_72,How do you approach challenges that require cooperation and teamwork?,"Как ты подходишь к задачам, которые требуют сотрудничества и командной работы?"
Q_73,How do you approach challenges that require cooperation with others?,"Как ты подходишь к задачам, которые требуют сотрудничества с другими людьми?"
Q_74,How do you approach challenges that require creative problem-solving and unconventional thinking?,"Как ты подходишь к задачам, которые требуют творческого подхода к решению проблем и нестандартного мышления?"
Q_75,How do you approach challenges that require creative problem-solving?,"Как ты подходишь к задачам, требующим творческого подхода к решению проблем?"
Q_76,How do you approach challenges that require physical skill and coordination?,"Как ты подходишь к задачам, которые требуют физических навыков и координации?"
Q_77,How do you approach challenges that seem impossible or insurmountable?,"Как ты подходишь к задачам, которые кажутся невозможными или непреодолимыми?"
Q_78,How do you approach challenges that seem impossible to overcome?,"Как ты подходишь к трудностям, которые кажутся непосильными?"
Q_79,How do you approach challenges that seem insurmountable or impossible to overcome?,"Как ты подходишь к проблемам, которые кажутся непреодолимыми или невыполнимыми?"
Q_80,How do you approach challenges that seem insurmountable or impossible?,"Как ты подходишь к задачам, которые кажутся непреодолимыми или невозможными?"
Q_81,How do you approach challenges that seem insurmountable?,"Как ты подходишь к проблемам, которые кажутся непреодолимыми?"
Q_82,How do you approach competition and rivalry?,Как ты относишься к конкуренции и соперничеству?
Q_83,How do you approach competition or rivalries?,Как ты относишься к конкуренции или соперничеству?
Q_84,How do you approach competition or rivalry with others?,Как ты относишься к конкуренции или соперничеству с другими людьми?
Q_85,How do you approach complex conflicts or disputes between different groups?,Как ты подходишь к сложным конфликтам или спорам между разными группами?
Q_86,How do you approach complex moral dilemmas?,Как ты подходишь к сложным моральным дилеммам?
Q_87,How do you approach complex problems and puzzles?,Как ты подходишь к сложным проблемам и головоломкам?
Q_88,How do you approach complex problems or mysteries?,Как ты подходишь к сложным проблемам или загадкам?
Q_89,How do you approach complex problems or puzzles?,Как ты подходишь к сложным проблемам или головоломкам?
Q_90,How do you approach complex problems that require creativity and outside-the-box thinking?,"Как ты подходишь к сложным проблемам, которые требуют креативности и нестандартного мышления?"
Q_91,How do you approach complex problems that seem impossible to solve?,"Как ты подходишь к сложным проблемам, решение которых кажется невозможным?"
Q_92,How do you approach complex problems?,Как ты подходишь к решению сложных проблем?
Q_93,How do you approach complex puzzles or mysteries that require problem-solving?,"Как ты подходишь к сложным головоломкам или загадкам, требующим решения проблем?"
Q_94,How do you approach complex situations or puzzles?,Как ты подходишь к сложным ситуациям или головоломкам?
Q_95,How do you approach complex social dynamics?,Как ты подходишь к сложной социальной динамике?
Q_96,How do you approach complex social situations and relationships?,Как ты подходишь к сложным социальным ситуациям и отношениям?
Q_97,"How do you approach complex social situations, such as navigating conflicts between different groups?","Как ты подходишь к сложным социальным ситуациям, например, ориентируешься в конфликтах между разными группами?"
Q_98,How do you approach complex social situations?,Как ты подходишь к сложным социальным ситуациям?
Q_99,"How do you approach complex, intricate problems?","Как ты подходишь к сложным, запутанным проблемам?"
Q_100,How do you approach conflict and competition?,Как ты относишься к конфликтам и конкуренции?
Q_101,How do you approach conflict and disagreements with others?,Как ты подходишь к конфликтам и разногласиям с окружающими?
Q_102,How do you approach conflict or competition?,Как ты подходишь к конфликтам или конкуренции?
Q_103,How do you approach conflict or disagreements with others?,Как ты подходишь к конфликтам или разногласиям с другими людьми?
Q_104,How do you approach conflict resolution when it arises among friends or allies?,"Как ты подходишь к разрешению конфликтов, когда они возникают среди друзей или союзников?"
Q_105,How do you approach conflict resolution?,Как ты подходишь к разрешению конфликтов?
Q_106,How do you approach conflicts and disagreements with others?,Как ты подходишь к конфликтам и разногласиям с окружающими?
Q_107,How do you approach conflicts and disagreements?,Как ты подходишь к конфликтам и разногласиям?
Q_108,How do you approach conflicts and disputes with others?,Как ты подходишь к конфликтам и спорам с окружающими?
Q_109,How do you approach conflicts between your own desires and the needs of others?,Как ты подходишь к конфликтам между собственными желаниями и потребностями других людей?
Q_110,How do you approach conflicts or disagreements with others?,Как ты подходишь к конфликтам или разногласиям с другими людьми?
Q_111,How do you approach conflicts or disputes between others?,Как ты относишься к конфликтам или спорам между другими людьми?
Q_112,How do you approach conflicts or disputes with others?,Как ты подходишь к конфликтам или спорам с другими людьми?
Q_113,How do you approach conflicts with others?,Как ты подходишь к конфликтам с окружающими?
Q_114,How do you approach creative expression and self-expression?,Как ты подходишь к творческому выражению и самовыражению?
Q_115,How do you approach creative problem-solving?,Как ты подходишь к решению творческих задач?
Q_116,How do you approach creative pursuits or artistic expression?,Как ты подходишь к творческим занятиям или художественному самовыражению?
Q_117,How do you approach creative pursuits or artistic expressions?,Как ты подходишь к творческим занятиям или художественному самовыражению?
Q_118,How do you approach creative pursuits or expressing yourself?,Как ты подходишь к творческим занятиям или самовыражению?
Q_119,How do you approach dealing with authority figures or those in positions of power?,"Как ты подходишь к общению с авторитетными людьми или теми, кто занимает властные позиции?"
Q_120,How do you approach dealing with those who are significantly more powerful or influential than yourself?,"Как ты подходишь к общению с теми, кто значительно сильнее или влиятельнее тебя самого?"
Q_121,How do you approach dealing with those who are significantly more powerful than yourself?,"Как ты подходишь к общению с теми, кто значительно сильнее тебя?"
Q_122,How do you approach exploring a mysterious and ancient location?,Как ты подходишь к исследованию загадочного и древнего места?
Q_123,How do you approach exploring a new and mysterious place?,Как ты подходишь к исследованию нового и загадочного места?
Q_124,How do you approach facing unknown dangers?,Как ты относишься к встрече с неизвестными опасностями?
Q_125,How do you approach helping others who are struggling?,"Как ты подходишь к помощи другим людям, которые испытывают трудности?"
Q_126,How do you approach learning new information or acquiring a new skill?,Как ты подходишь к изучению новой информации или приобретению нового навыка?
Q_127,How do you approach learning new skills or knowledge?,Как ты подходишь к изучению новых навыков или знаний?
Q_128,How do you approach learning new skills or mastering complex information?,Как ты подходишь к изучению новых навыков или освоению сложной информации?
Q_129,How do you approach making sacrifices for the greater good?,"Как ты относишься к тому, чтобы жертвовать собой ради общего блага?"
Q_130,How do you approach navigating complex social situations?,Как ты подходишь к навигации в сложных социальных ситуациях?
Q_131,How do you approach new environments and unfamiliar situations?,Как ты подходишь к новому окружению и незнакомым ситуациям?
Q_132,How do you approach new skills or knowledge?,Как ты подходишь к новым навыкам или знаниям?
Q_133,How do you approach new social situations?,Как ты подходишь к новым социальным ситуациям?
Q_134,How do you approach problem-solving in creative or unconventional situations?,Как ты подходишь к решению проблем в творческих или нестандартных ситуациях?
Q_135,How do you approach problems that require creative solutions?,"Как ты подходишь к проблемам, которые требуют творческого решения?"
Q_136,How do you approach problems that seem impossible or too complex to solve?,"Как ты подходишь к проблемам, решение которых кажется невозможным или слишком сложным?"
Q_137,How do you approach problems that seem insurmountable?,"Как ты подходишь к проблемам, которые кажутся непреодолимыми?"
Q_138,How do you approach problems that seem too big or overwhelming?,"Как ты подходишь к проблемам, которые кажутся слишком большими или непреодолимыми?"
Q_139,How do you approach relationships with others?,Как ты подходишь к отношениям с другими людьми?
Q_140,How do you approach seeking knowledge or gaining new skills?,Как ты подходишь к поиску знаний или получению новых навыков?
Q_141,How do you approach seeking wisdom or guidance from others?,Как ты подходишь к поиску мудрости или руководства у других?
Q_142,How do you approach situations where others rely on you for support or guidance?,"Как ты подходишь к ситуациям, когда другие полагаются на твою поддержку или руководство?"
Q_143,How do you approach situations where someone else's goals or desires directly conflict with your own?,"Как ты относишься к ситуациям, когда чужие цели или желания напрямую противоречат твоим собственным?"
Q_144,"How do you approach situations where there is a strong sense of tradition, authority, and established norms?","Как ты подходишь к ситуациям, в которых сильно ощущаются традиции, авторитет и устоявшиеся нормы?"
Q_145,How do you approach situations where you have to make a hard choice between your own desires and the greater good?,"Как ты подходишь к ситуациям, когда тебе приходится делать сложный выбор между собственными желаниями и общим благом?"
Q_146,How do you approach situations where you have to make sacrifices or put others' needs before your own?,"Как ты относишься к ситуациям, когда приходится идти на жертвы или ставить чужие нужды выше своих?"
Q_147,How do you approach situations where you must balance individual desires with the greater good?,"Как ты подходишь к ситуациям, когда нужно уравновесить индивидуальные желания и общее благо?"
Q_148,How do you approach situations where you must balance individual freedom with collective well-being?,"Как ты подходишь к ситуациям, когда нужно уравновесить индивидуальную свободу и коллективное благополучие?"
Q_149,How do you approach situations where you must balance individual needs with the greater good?,"Как ты подходишь к ситуациям, когда нужно уравновесить индивидуальные потребности и общее благо?"
Q_150,How do you approach situations where you must balance your own desires with the needs of others?,"Как ты подходишь к ситуациям, когда нужно уравновесить собственные желания с потребностями других людей?"
Q_151,How do you approach situations where you're not sure what to do or what's going to happen?,"Как ты подходишь к ситуациям, когда не уверен, что делать или что произойдет?"
Q_152,How do you approach situations where your own interests and desires may conflict with those of others?,"Как ты подходишь к ситуациям, когда твои собственные интересы и желания могут вступать в конфликт с интересами и желаниями других людей?"
Q_153,How do you approach situations where your personal values and morals are challenged?,"Как ты относишься к ситуациям, когда твоим личным ценностям и морали бросают вызов?"
Q_154,How do you approach social hierarchies and authority?,Как ты относишься к социальной иерархии и авторитету?
Q_155,How do you approach social hierarchies and rules?,Как ты относишься к социальным иерархиям и правилам?
Q_156,How do you approach social interactions and building relationships?,Как ты подходишь к социальным взаимодействиям и построению отношений?
Q_157,How do you approach social interactions?,Как ты подходишь к социальным взаимодействиям?
Q_158,How do you approach social situations and building relationships?,Как ты подходишь к социальным ситуациям и построению отношений?
Q_159,How do you approach social situations and interacting with others?,Как ты подходишь к социальным ситуациям и взаимодействию с другими людьми?
Q_160,How do you approach social situations and relationships?,Как ты подходишь к социальным ситуациям и отношениям?
Q_161,"How do you approach social situations, especially when there's a power imbalance or competition involved?","Как ты подходишь к социальным ситуациям, особенно если в них присутствует дисбаланс сил или соперничество?"
Q_162,How do you approach social situations?,Как ты подходишь к социальным ситуациям?
Q_163,How do you approach solving a complex problem?,Как ты подходишь к решению сложной проблемы?
Q_164,How do you approach solving a puzzle or unlocking a hidden secret?,Как ты подходишь к решению головоломки или раскрытию скрытого секрета?
Q_165,How do you approach solving complex problems?,Как ты подходишь к решению сложных проблем?
Q_166,How do you approach solving problems in a group setting?,Как ты подходишь к решению проблем в групповой обстановке?
Q_167,How do you approach solving problems?,Как ты подходишь к решению проблем?
Q_168,How do you approach solving puzzles or uncovering hidden secrets?,Как ты подходишь к решению головоломок или раскрытию скрытых секретов?
Q_169,How do you approach taking risks and stepping into the unknown?,"Как ты подходишь к тому, чтобы рисковать и шагать в неизвестность?"
Q_170,How do you approach taking risks and stepping out of your comfort zone?,"Как ты подходишь к тому, чтобы рисковать и выходить из своей зоны комфорта?"
Q_171,How do you approach taking risks in new and unfamiliar situations?,"Как ты подходишь к тому, чтобы рисковать в новых и незнакомых ситуациях?"
Q_172,How do you approach taking risks in pursuit of your goals?,"Как ты подходишь к тому, чтобы идти на риск в погоне за своими целями?"
Q_173,How do you approach taking risks in your life?,"Как ты подходишь к тому, чтобы рисковать в своей жизни?"
Q_174,How do you approach taking risks or pushing boundaries in your daily life?,"Как ты подходишь к тому, чтобы рисковать или раздвигать границы в своей повседневной жизни?"
Q_175,How do you approach the concept of authority?,Как ты подходишь к понятию авторитета?
Q_176,How do you approach the concept of power and authority?,Как ты подходишь к понятию силы и власти?
Q_177,How do you approach the unknown or unexplored?,Как ты подходишь к неизвестному или неизведанному?
Q_178,How do you approach unexpected obstacles or setbacks in your path?,Как ты относишься к неожиданным препятствиям или неудачам на своем пути?
Q_179,How do you approach your relationships with others?,Как ты подходишь к своим отношениям с другими людьми?
Q_180,How do you cope with stress or overwhelming situations?,Как ты справляешься со стрессом или непреодолимыми ситуациями?
Q_181,How do you feel about being a part of something bigger than yourself?,"Что ты чувствуешь, когда становишься частью чего-то большего, чем ты сам?"
Q_182,How do you feel about being alone and having time for self-reflection?,"Как ты относишься к тому, чтобы побыть одному и иметь время для самоанализа?"
Q_183,How do you feel about being alone for extended periods of time?,Как ты относишься к длительному пребыванию в одиночестве?
Q_184,How do you feel about being alone in a situation where you need to rely on yourself for survival?,"Как ты относишься к одиночеству в ситуации, когда для выживания тебе нужно полагаться только на себя?"
Q_185,How do you feel about being alone or having time for yourself?,Как ты относишься к одиночеству или времени для себя?
Q_186,How do you feel about being alone or in isolation?,Как ты чувствуешь себя в одиночестве или в изоляции?
Q_187,How do you feel about being alone versus having a lot of company?,Как ты относишься к одиночеству в сравнении с большой компанией?
Q_188,"How do you feel about being around others and being part of a group, versus spending time alone?","Как ты относишься к тому, чтобы быть в окружении других людей и быть частью группы, в отличие от того, чтобы проводить время в одиночестве?"
Q_189,How do you feel about being in charge and making important decisions?,"Как ты относишься к тому, чтобы быть главным и принимать важные решения?"
Q_190,How do you feel about being in charge and taking responsibility for others?,"Как ты относишься к тому, чтобы быть главным и брать на себя ответственность за других?"
Q_191,How do you feel about being in control and having power over others?,"Как ты относишься к тому, чтобы контролировать себя и иметь власть над другими?"
Q_192,How do you feel about being in control and making decisions?,"Как ты относишься к тому, чтобы контролировать ситуацию и принимать решения?"
